ID,*User,*Action,Resource Type,Resource,Remote addr,Organization,Datetime
'01fe5278-f079-4a35-a1e5-808ee97e8d37,Administrator(admin),Create(create),User session,Administrator(admin)(192.168.1.151),192.168.1.151,DEFAULT,2026/01/02 17:25:55 +0800
84109375-7fd7-4be8-8d0f-d9fb24d7baa7,Administrator(admin),Create(create),User session,Administrator(admin)(192.168.1.100),192.168.1.100,DEFAULT,2026/01/02 17:15:10 +0800
e9e4d778-7dc3-4cd2-847c-86a9278bc1a5,Administrator(admin),Update(update),Asset permission,allow admin to use machine-2,192.168.1.100,DEFAULT,2025/12/12 04:35:15 +0800
2ad2150c-fb22-4751-8722-0097b86aaa3d,Administrator(admin),Update(update),Asset permission,allow admin to use machine-2,192.168.1.100,DEFAULT,2025/12/12 04:35:14 +0800
f07d7057-b9c7-4f7d-a106-09f3960341ad,Administrator(admin),Create(create),Asset permission,allow admin to use machine-2,192.168.1.100,DEFAULT,2025/12/12 04:35:14 +0800
1524568d-9f70-41cd-b098-cb258e4f1880,Administrator(admin),Create(create),Account,machine-2-user(machine-2),192.168.1.100,DEFAULT,2025/12/12 04:32:19 +0800
1bd072eb-b52e-496c-990e-2cd642302570,Administrator(admin),Delete(delete),Account,machine-2-user(machine-2),192.168.1.100,DEFAULT,2025/12/12 04:31:43 +0800
f413f823-edd6-437d-ab71-bfe33c4366e3,Administrator(admin),Create(create),User session,Administrator(admin)(192.168.1.100),192.168.1.100,DEFAULT,2025/12/12 04:27:04 +0800
77cac756-9706-47ee-841c-24a25984ad47,Administrator(admin),Create(create),Preference,[Preference] Language,192.168.1.100,DEFAULT,2025/12/12 04:27:04 +0800
4a58630c-55e1-458b-aab2-aec107e808ba,Administrator(admin),Finished(finished),User session,Administrator(admin)(192.168.1.100),192.168.1.100,DEFAULT,2025/12/12 04:26:36 +0800
7989973c-de28-4617-b17e-3216213c305a,Administrator(admin),Create(create),Account,machine-2-user(machine-2),192.168.1.100,DEFAULT,2025/12/12 04:25:57 +0800
86fb58bb-577c-41f7-bd99-c26d7cbb565d,Administrator(admin),Delete(delete),User,machine-2-user(machine-2-user),192.168.1.100,DEFAULT,2025/12/12 04:24:57 +0800
d7d81303-f574-4e66-88c3-5bc195abe8ec,Administrator(admin),Create(create),Organization role binding,OrgUser(Organization) -> machine-2-user(machine-2-user) | DEFAULT,192.168.1.100,DEFAULT,2025/12/12 04:21:56 +0800
3e7a873e-7281-4bdf-a7a2-8f00fbc68f9d,Administrator(admin),Create(create),System role binding,User(System) -> machine-2-user(machine-2-user),192.168.1.100,DEFAULT,2025/12/12 04:21:56 +0800
3843c09a-830c-4caf-9f13-12b8b71f4f83,Administrator(admin),Create(create),User message,machine-2-user(machine-2-user) subscription,192.168.1.100,DEFAULT,2025/12/12 04:21:56 +0800
2dfd642a-e0c3-4353-8480-5af3064f570d,Administrator(admin),Create(create),User,machine-2-user(machine-2-user),192.168.1.100,DEFAULT,2025/12/12 04:21:56 +0800
3b0231a5-23aa-4d88-9318-737f99178564,Administrator(admin),Update(update),Host,machine-2(10.0.2.20),192.168.1.100,DEFAULT,2025/12/12 04:18:00 +0800
3ea5dc5c-1372-415e-a040-9fad7aef1e5d,Administrator(admin),Create(create),Host,machine-3(10.0.2.30),192.168.1.100,DEFAULT,2025/12/12 04:17:45 +0800
7e3676b0-b6f2-40f7-8916-302245c74384,Administrator(admin),Create(create),Host,machine-1(10.0.2.20),192.168.1.100,DEFAULT,2025/12/12 04:17:16 +0800
af1573e0-245d-4dc8-833c-016a94a844d7,Administrator(admin),Create(create),Node,/DEFAULT,192.168.1.100,DEFAULT,2025/12/12 04:16:39 +0800
e79d7589-166a-49c4-b051-91fdbfa2799b,Administrator(admin),Update(update),User,Administrator(admin),192.168.1.100,DEFAULT,2025/12/12 04:15:51 +0800
a385c1d7-1bfe-4f9a-8b44-781f3712db8b,Administrator(admin),Create(create),User session,Administrator(admin)(192.168.1.100),192.168.1.100,DEFAULT,2025/12/12 04:15:23 +0800
